timestamp,GHI,temperature,cloud_cover,generation_fraction
2022-01-01 01:00:00+00:00,17.4,19.19,0.5212,0.0132774615
2022-01-01 02:00:00+00:00,140.25,20.18,0.5526,0.10670851125000001
2022-01-01 03:00:00+00:00,289.67,21.81,0.5785,0.21933160642500002
2022-01-01 04:00:00+00:00,439.0,23.84,0.6015999999999999,0.33039578999999997
2022-01-01 05:00:00+00:00,508.8,25.67,0.7140000000000001,0.38083298400000004
2022-01-01 06:00:00+00:00,533.8,27.16,0.8231999999999999,0.397755732
2022-01-01 07:00:00+00:00,475.8,28.11,0.929,0.35352058950000004
2022-01-01 08:00:00+00:00,360.4,28.55,0.8908,0.267421305
2022-01-01 09:00:00+00:00,294.17,28.31,0.934,0.21843666892500002
2022-01-01 10:00:00+00:00,180.02,27.66,0.9239,0.1339375803
2022-01-01 11:00:00+00:00,72.03,26.19,0.9209,0.053829639675000006
2022-01-02 01:00:00+00:00,20.15,18.05,0.3292,0.015427595624999998
2022-01-02 02:00:00+00:00,171.62,20.37,0.38270000000000004,0.13050285135
2022-01-02 03:00:00+00:00,356.2,22.5,0.4307,0.269153625
2022-01-02 04:00:00+00:00,526.62,24.54,0.4678,0.3955100517
2022-01-02 05:00:00+00:00,644.38,26.35,0.6396000000000001,0.48132769574999995
2022-01-02 06:00:00+00:00,788.12,27.74,0.22870000000000001,0.5862312402
2022-01-02 07:00:00+00:00,728.8,28.59,0.5856,0.540713118
2022-01-02 08:00:00+00:00,693.95,28.91,0.2125,0.514357474875
2022-01-02 09:00:00+00:00,545.12,28.71,0.09380000000000001,0.40428961080000003
2022-01-02 10:00:00+00:00,339.75,27.89,0.0731,0.252603275625
2022-01-02 11:00:00+00:00,134.35,26.26,0.024900000000000002,0.10038161775
2022-01-02 12:00:00+00:00,8.88,23.58,0.0304,0.0066883716000000005
2022-01-03 01:00:00+00:00,18.02,17.31,0.5291,0.01382679105
2022-01-03 02:00:00+00:00,149.48,19.5,0.39799999999999996,0.11395981499999999
2022-01-03 03:00:00+00:00,356.7,22.2,0.2908,0.26977220999999996
2022-01-03 04:00:00+00:00,550.95,24.61,0.1827,0.41369595862499997
2022-01-03 05:00:00+00:00,688.17,26.51,0.1445,0.5137894424249999
2022-01-03 06:00:00+00:00,807.47,27.89,0.037200000000000004,0.6003519263250001
2022-01-03 07:00:00+00:00,798.95,28.81,0.009300000000000001,0.592363501125
2022-01-03 08:00:00+00:00,694.42,29.23,0.07780000000000001,0.5142058576499999
2022-01-03 09:00:00+00:00,555.7,29.14,0.04190000000000001,0.41159865450000005
2022-01-03 10:00:00+00:00,354.73,28.49,0.0384,0.26326198267500006
2022-01-03 11:00:00+00:00,149.43,26.79,0.0349,0.11147067067500001
2022-01-03 12:00:00+00:00,9.48,23.54,0.031400000000000004,0.0071411418
2022-01-04 01:00:00+00:00,17.48,17.6,0.0974,0.013401042
2022-01-04 02:00:00+00:00,156.6,19.62,0.0859,0.119345643
2022-01-04 03:00:00+00:00,349.0,22.01,0.1364,0.26409789749999996
2022-01-04 04:00:00+00:00,537.6,24.36,0.1458,0.40397414400000003
2022-01-04 05:00:00+00:00,685.92,26.17,0.005,0.5126343156000001
2022-01-04 06:00:00+00:00,800.9,27.44,0.004699999999999999,0.596278059
2022-01-04 07:00:00+00:00,786.9,28.25,0.0279,0.5844207937499999
2022-01-04 08:00:00+00:00,691.4,28.64,0.1074,0.512887434
2022-01-04 09:00:00+00:00,541.78,28.46,0.0421,0.40211724269999993
2022-01-04 10:00:00+00:00,338.55,27.63,0.037599999999999995,0.251909130375
2022-01-04 11:00:00+00:00,131.23,25.76,0.067,0.09819809669999999
2022-01-04 12:00:00+00:00,9.07,22.04,0.1003,0.006862906199999999
2022-01-05 01:00:00+00:00,17.4,15.19,0.015,0.0134340615
2022-01-05 02:00:00+00:00,163.5,17.5,0.020099999999999996,0.1253840625
2022-01-05 03:00:00+00:00,351.9,20.85,0.0253,0.26721086624999996
2022-01-05 04:00:00+00:00,535.72,23.35,0.0304,0.4037788605
2022-01-05 05:00:00+00:00,685.72,25.51,0.004699999999999999,0.5135031363
2022-01-05 06:00:00+00:00,800.7,26.94,0.004699999999999999,0.5970299445
2022-01-05 07:00:00+00:00,793.22,27.86,0.0144,0.5898106293
2022-01-05 08:00:00+00:00,709.97,28.32,0.0175,0.5271740240999999
2022-01-05 09:00:00+00:00,551.25,28.36,0.20329999999999998,0.40927005
2022-01-05 10:00:00+00:00,352.2,27.81,0.16390000000000002,0.2619232155
2022-01-05 11:00:00+00:00,145.15,26.16,0.10890000000000001,0.1084836585
2022-01-05 12:00:00+00:00,10.15,22.02,0.1315,0.007680555750000001
2022-01-06 01:00:00+00:00,17.92,16.2,0.0337,0.013794816
2022-01-06 02:00:00+00:00,179.27,18.63,0.0256,0.137021887275
2022-01-06 03:00:00+00:00,371.8,21.63,0.0174,0.28166917350000004
2022-01-06 04:00:00+00:00,561.17,24.25,0.009300000000000001,0.421824474375
2022-01-06 05:00:00+00:00,669.65,26.5,0.1471,0.49997743125000005
2022-01-06 06:00:00+00:00,814.4,28.1,0.1094,0.60511956
2022-01-06 07:00:00+00:00,806.75,29.07,0.0898,0.5976746868749999
2022-01-06 08:00:00+00:00,730.1,29.53,0.0137,0.5401334557499999
2022-01-06 09:00:00+00:00,579.7,29.47,0.0327,0.42894466725
2022-01-06 10:00:00+00:00,376.33,28.92,0.025699999999999997,0.2789282694
2022-01-06 11:00:00+00:00,161.07,27.05,0.0187,0.12005956462499999
2022-01-06 12:00:00+00:00,11.5,23.05,0.011699999999999999,0.00867545625
2022-01-07 01:00:00+00:00,15.57,17.71,0.23600000000000002,0.011932886925
2022-01-07 02:00:00+00:00,154.93,19.87,0.1736,0.11798577952500001
2022-01-07 03:00:00+00:00,347.25,22.34,0.18739999999999998,0.26251579125
2022-01-07 04:00:00+00:00,532.17,24.74,0.18100000000000002,0.39943881945
2022-01-07 05:00:00+00:00,647.78,26.77,0.3129,0.48325521615
2022-01-07 06:00:00+00:00,698.2,28.18,0.3531,0.5186543790000001
2022-01-07 07:00:00+00:00,688.2,29.15,0.5458,0.5097239325
2022-01-07 08:00:00+00:00,637.78,29.68,0.2256,0.47161917659999997
2022-01-07 09:00:00+00:00,492.85,29.95,0.2854,0.364148383125
2022-01-07 10:00:00+00:00,299.15,29.46,0.2749,0.22136052974999998
2022-01-07 11:00:00+00:00,117.78,27.84,0.2688,0.0875823858
2022-01-07 12:00:00+00:00,9.18,24.53,0.2741,0.006894707849999998
2022-01-08 01:00:00+00:00,13.35,18.81,0.3456,0.010198432124999999
2022-01-08 02:00:00+00:00,132.82,20.7,0.2273,0.10090003349999999
2022-01-08 03:00:00+00:00,324.12,23.07,0.141,0.24449749110000002
2022-01-08 04:00:00+00:00,495.98,25.32,0.0575,0.37162789440000005
2022-01-08 05:00:00+00:00,619.67,27.4,0.2,0.46140628199999995
2022-01-08 06:00:00+00:00,642.0,28.73,0.5415,0.476112015
2022-01-08 07:00:00+00:00,599.62,29.52,0.7957,0.44361686460000005
2022-01-08 08:00:00+00:00,546.35,29.94,0.614,0.40368981975
2022-01-08 09:00:00+00:00,432.35,29.66,0.6305,0.31972931025
2022-01-08 10:00:00+00:00,287.0,29.44,0.49939999999999996,0.21238287
2022-01-08 11:00:00+00:00,133.2,28.15,0.37020000000000003,0.09895594499999999
2022-01-08 12:00:00+00:00,11.77,24.93,0.2064,0.008829353774999998
2022-01-09 01:00:00+00:00,17.2,18.17,0.21719999999999998,0.013164320999999998
2022-01-09 02:00:00+00:00,155.98,20.33,0.31370000000000003,0.11862395984999999
2022-01-09 03:00:00+00:00,318.67,23.33,0.42310000000000003,0.240199902525
2022-01-09 04:00:00+00:00,497.85,25.88,0.5069,0.372401757
2022-01-09 05:00:00+00:00,602.22,27.69,0.5212,0.44802006344999995
2022-01-09 06:00:00+00:00,647.15,28.89,0.7483,0.47969831962500004
2022-01-09 07:00:00+00:00,676.4,29.68,0.747,0.5001775079999999
2022-01-09 08:00:00+00:00,596.2,30.17,0.39990000000000003,0.4402147035
2022-01-09 09:00:00+00:00,472.3,30.2,0.37,0.34869909000000004
2022-01-09 10:00:00+00:00,300.12,29.53,0.2933,0.2220310269
2022-01-09 11:00:00+00:00,135.25,28.18,0.1802,0.10046978625000001
2022-01-09 12:00:00+00:00,11.5,25.36,0.1252,0.008615685000000001
2022-01-10 01:00:00+00:00,15.62,18.44,0.087,0.0119455512
2022-01-10 02:00:00+00:00,154.57,20.48,0.10529999999999999,0.1174994769
2022-01-10 03:00:00+00:00,356.0,23.92,0.142,0.26786508
2022-01-10 04:00:00+00:00,549.3,26.79,0.1643,0.40976269424999995
2022-01-10 05:00:00+00:00,697.03,28.26,0.24960000000000002,0.51765978495
2022-01-10 06:00:00+00:00,750.1,29.47,0.2871,0.55503086925
2022-01-10 07:00:00+00:00,741.62,30.28,0.3215,0.5474045544
2022-01-10 08:00:00+00:00,591.45,30.75,0.3569,0.43593561562500005
2022-01-10 09:00:00+00:00,487.65,30.81,0.3357,0.35936269537500004
2022-01-10 10:00:00+00:00,296.12,30.21,0.317,0.2186187333
2022-01-10 11:00:00+00:00,128.88,29.0,0.2645,0.09550008
2022-01-10 12:00:00+00:00,11.12,26.0,0.2827,0.00831498
2022-01-11 01:00:00+00:00,16.3,17.55,0.06559999999999999,0.012498228750000003
2022-01-11 02:00:00+00:00,161.25,19.7,0.048499999999999995,0.12286040625000001
2022-01-11 03:00:00+00:00,353.62,23.14,0.13369999999999999,0.26669489969999993
2022-01-11 04:00:00+00:00,535.67,26.46,0.147,0.3999928240499999
2022-01-11 05:00:00+00:00,665.45,28.74,0.22870000000000001,0.4934877382500001
2022-01-11 06:00:00+00:00,799.42,30.35,0.16670000000000001,0.5899419817499999
2022-01-11 07:00:00+00:00,769.92,31.46,0.2581,0.5662492128
2022-01-11 08:00:00+00:00,690.83,32.04,0.2786,0.5071797528
2022-01-11 09:00:00+00:00,545.05,32.15,0.29309999999999997,0.40001900812499996
2022-01-11 10:00:00+00:00,342.55,31.58,0.2446,0.25184104725
2022-01-11 11:00:00+00:00,148.93,30.1,0.153,0.10998852825000001
2022-01-11 12:00:00+00:00,13.23,27.35,0.1075,0.009852546375
2022-01-12 01:00:00+00:00,18.38,18.41,0.1381,0.014057529450000002
2022-01-12 02:00:00+00:00,181.95,20.67,0.0944,0.138235147875
2022-01-12 03:00:00+00:00,389.4,23.38,0.1283,0.293469363
2022-01-12 04:00:00+00:00,573.28,25.6,0.1456,0.429186072
2022-01-12 05:00:00+00:00,717.38,27.52,0.1605,0.5339674554
2022-01-12 06:00:00+00:00,802.03,28.91,0.1469,0.5944666410749999
