timestamp,plant_id,plant_type,cluster_id,CMF,power_curve_fraction,temperature,nwp_spread,capacity_mw,lat_sin,lat_cos,lon_sin,lon_cos,tilt_angle_deg,hub_height_m,hour_sin,hour_cos,doy_sin,doy_cos,season,actual_generation_mw,wind_speed_ms,event_id,hour_in_event
2023-01-20 00:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3382,26.0,1.153,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.0,1.0,0.3375228995941133,0.9413173175128471,0,20.288,8.29,wind_spike_1,0
2023-01-20 01:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.2277,26.0,1.204,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.25881904510252074,0.9659258262890683,0.3375228995941133,0.9413173175128471,0,11.121,7.33,wind_spike_1,1
2023-01-20 02:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3336,26.0,0.894,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.49999999999999994,0.8660254037844387,0.3375228995941133,0.9413173175128471,0,19.88,8.25,wind_spike_1,2
2023-01-20 03:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3721,26.0,0.854,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.7071067811865475,0.7071067811865476,0.3375228995941133,0.9413173175128471,0,23.469,8.55,wind_spike_1,3
2023-01-20 04:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.4258,26.0,1.3,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.8660254037844386,0.5000000000000001,0.3375228995941133,0.9413173175128471,0,29.153,8.97,wind_spike_1,4
2023-01-20 05:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3913,26.0,1.002,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.9659258262890683,0.25881904510252074,0.3375228995941133,0.9413173175128471,0,25.406,8.7,wind_spike_1,5
2023-01-20 06:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3367,26.0,1.252,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,1.0,6.123233995736766e-17,0.3375228995941133,0.9413173175128471,0,20.159,8.28,wind_spike_1,6
2023-01-20 07:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.2168,26.0,1.629,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.9659258262890683,-0.25881904510252063,0.3375228995941133,0.9413173175128471,0,10.366,7.23,wind_spike_1,7
2023-01-20 08:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.3095,26.0,1.075,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.8660254037844387,-0.49999999999999983,0.3375228995941133,0.9413173175128471,0,17.836,8.07,wind_spike_1,8
2023-01-20 09:00:00+05:30,GAD_W1,wind,C2_Gadag,0.0,0.2687,26.0,1.225,100.0,0.2655561174868088,0.9640954042341101,0.9685831611286311,0.24868988716485496,0.0,100.0,0.7071067811865476,-0.7071067811865475,0.3375228995941133,0.9413173175128471,0,14.276,7.7,wind_spike_1,9
