timestamp,plant_id,plant_type,cluster_id,CMF,power_curve_fraction,temperature,nwp_spread,capacity_mw,lat_sin,lat_cos,lon_sin,lon_cos,tilt_angle_deg,hub_height_m,hour_sin,hour_cos,doy_sin,doy_cos,season,actual_generation_mw,event_id,hour_in_event
2023-02-15 00:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,30.0,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.0,1.0,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,0
2023-02-15 01:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,30.776457135307563,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.25881904510252074,0.9659258262890683,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,1
2023-02-15 02:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,31.5,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.49999999999999994,0.8660254037844387,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,2
2023-02-15 03:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,32.121320343559645,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.7071067811865475,0.7071067811865476,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,3
2023-02-15 04:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,32.598076211353316,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,4
2023-02-15 05:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,32.897777478867205,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.9659258262890683,0.25881904510252074,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,5
2023-02-15 06:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,0.0,33.0,0.0,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,1.0,6.123233995736766e-17,0.7116566222817746,0.702527474169157,0,0.0,cloud_ramp_1,6
2023-02-15 07:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.9109,0.0,32.897777478867205,11.595,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.9659258262890683,-0.25881904510252063,0.7116566222817746,0.702527474169157,0,17.241,cloud_ramp_1,7
2023-02-15 08:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.9014,0.0,32.598076211353316,18.239,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.8660254037844387,-0.49999999999999983,0.7116566222817746,0.702527474169157,0,37.906,cloud_ramp_1,8
2023-02-15 09:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.8999,0.0,32.121320343559645,38.994,150.0,0.25038000405444144,0.9681476403781077,0.9751493543055633,0.22154849761946724,15.0,0.0,0.7071067811865476,-0.7071067811865475,0.7116566222817746,0.702527474169157,0,55.784,cloud_ramp_1,9
