timestamp,plant_id,plant_type,cluster_id,GHI,temperature,cloud_cover,wind_speed,wind_direction,generation_mw,capacity_mw,season
2023-01-01 00:00:00+05:30,GAD_W1,wind,C2_Gadag,,22.0,,10.027,299.2,48.142,100,0
2023-01-01 00:00:00+05:30,GAD_W2,wind,C2_Gadag,,18.68,,4.104,93.6,0.442,80,0
2023-01-01 00:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,25.49,0.3846740932170068,,,0.0,90,0
2023-01-01 00:00:00+05:30,MIX_W1,wind,C2_Gadag,,22.94,,3.861,24.3,0.195,60,0
2023-01-01 00:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,22.99,0.7393714548419827,,,0.0,150,0
2023-01-01 00:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,21.6,0.9931012678433578,,,0.0,120,0
2023-01-01 01:00:00+05:30,GAD_W1,wind,C2_Gadag,,24.71,,10.481,233.4,58.615,100,0
2023-01-01 01:00:00+05:30,GAD_W2,wind,C2_Gadag,,22.68,,5.393,305.2,2.239,80,0
2023-01-01 01:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,15.55,0.49049352035240906,,,0.0,90,0
2023-01-01 01:00:00+05:30,MIX_W1,wind,C2_Gadag,,18.27,,6.079,120.8,2.304,60,0
2023-01-01 01:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,21.72,0.7551813028539146,,,0.0,150,0
2023-01-01 01:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,24.6,0.34013426876926195,,,0.0,120,0
2023-01-01 02:00:00+05:30,GAD_W1,wind,C2_Gadag,,21.41,,5.704,177.2,1.922,100,0
2023-01-01 02:00:00+05:30,GAD_W2,wind,C2_Gadag,,22.76,,10.907,128.1,54.084,80,0
2023-01-01 02:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,20.06,0.5918724968172782,,,0.0,90,0
2023-01-01 02:00:00+05:30,MIX_W1,wind,C2_Gadag,,22.04,,5.823,34.9,2.586,60,0
2023-01-01 02:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,23.3,0.9086960745415605,,,0.0,150,0
2023-01-01 02:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,23.74,0.6098739096029464,,,0.0,120,0
2023-01-01 03:00:00+05:30,GAD_W1,wind,C2_Gadag,,21.36,,10.648,164.5,60.41,100,0
2023-01-01 03:00:00+05:30,GAD_W2,wind,C2_Gadag,,21.67,,1.387,220.4,0.0,80,0
2023-01-01 03:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,26.37,0.09094187363363092,,,0.0,90,0
2023-01-01 03:00:00+05:30,MIX_W1,wind,C2_Gadag,,21.43,,7.379,182.8,6.956,60,0
2023-01-01 03:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,25.05,0.13659694268904723,,,0.0,150,0
2023-01-01 03:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,22.45,0.5548600896478945,,,0.0,120,0
2023-01-01 04:00:00+05:30,GAD_W1,wind,C2_Gadag,,21.57,,8.164,254.1,18.619,100,0
2023-01-01 04:00:00+05:30,GAD_W2,wind,C2_Gadag,,27.39,,10.333,255.0,43.326,80,0
2023-01-01 04:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,23.67,0.022282597003341703,,,0.0,90,0
2023-01-01 04:00:00+05:30,MIX_W1,wind,C2_Gadag,,21.85,,7.898,244.4,10.307,60,0
2023-01-01 04:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,21.53,0.07506705005760529,,,0.0,150,0
2023-01-01 04:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,20.22,0.5342698836633996,,,0.0,120,0
2023-01-01 05:00:00+05:30,GAD_W1,wind,C2_Gadag,,23.45,,6.431,29.0,3.774,100,0
2023-01-01 05:00:00+05:30,GAD_W2,wind,C2_Gadag,,23.19,,4.596,77.3,0.0,80,0
2023-01-01 05:00:00+05:30,MIX_S1,solar,C1_Pavagada,0.0,21.78,0.7063706281381277,,,0.0,90,0
2023-01-01 05:00:00+05:30,MIX_W1,wind,C2_Gadag,,19.61,,9.121,242.8,18.5,60,0
2023-01-01 05:00:00+05:30,PVG_S1,solar,C1_Pavagada,0.0,21.53,0.6003609650996214,,,0.0,150,0
2023-01-01 05:00:00+05:30,PVG_S2,solar,C1_Pavagada,0.0,20.08,0.21135752489750373,,,0.0,120,0
2023-01-01 06:00:00+05:30,GAD_W1,wind,C2_Gadag,,20.53,,19.127,205.8,99.42,100,0
