timestamp,wind_speed,wind_direction,temperature,generation_fraction
2022-01-01 00:00:00+00:00,4.100360262079392,96.6,18.2,0.001827583236896953
2022-01-01 01:00:00+00:00,4.906532788183137,97.2,18.23,0.009506164109132393
2022-01-01 02:00:00+00:00,7.158256050748769,99.3,19.61,0.0986293466205349
2022-01-01 03:00:00+00:00,8.33971578728012,100.7,22.17,0.20884635364241086
2022-01-01 04:00:00+00:00,8.631605839834924,102.0,24.6,0.2450017709091073
2022-01-01 05:00:00+00:00,8.159021945222383,103.7,26.42,0.18835389152432733
2022-01-01 06:00:00+00:00,7.491844682239973,105.7,27.81,0.1243216210946221
2022-01-01 07:00:00+00:00,6.76906931400903,108.2,28.74,0.0734471324484032
2022-01-01 08:00:00+00:00,6.074092998402354,109.9,29.18,0.03984955509228037
2022-01-01 09:00:00+00:00,5.532011472229145,108.6,29.02,0.02226739837477213
2022-01-01 10:00:00+00:00,5.198422840737941,105.5,28.22,0.014574919150395974
2022-01-01 11:00:00+00:00,4.545145104067665,100.2,26.96,0.005060346808923484
2022-01-01 12:00:00+00:00,3.1829915254785788,94.0,23.98,8.405535843187353e-06
2022-01-01 13:00:00+00:00,3.627776367466852,91.1,22.7,0.0003393808709624709
2022-01-01 14:00:00+00:00,3.891867367397389,90.8,22.06,0.0009731354487117983
2022-01-01 15:00:00+00:00,4.086460735767258,93.7,21.46,0.0017591974176414424
2022-01-01 16:00:00+00:00,4.4061498409463296,101.3,20.97,0.0038138822272128117
2022-01-01 17:00:00+00:00,5.226221893362208,109.4,20.44,0.01513483950649421
2022-01-01 18:00:00+00:00,5.893399156344618,114.7,19.73,0.03322748902038412
2022-01-01 19:00:00+00:00,5.5876095774776795,116.9,18.82,0.02376669109065298
2022-01-01 20:00:00+00:00,5.073327103928739,117.1,18.14,0.012225762279898732
2022-01-01 21:00:00+00:00,4.614642735628332,114.8,17.94,0.005774332669084107
2022-01-01 22:00:00+00:00,4.308853156761395,111.4,17.9,0.0030757090183491102
2022-01-01 23:00:00+00:00,4.392250314634197,110.4,17.81,0.0037018979789288364
